Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,Comp Ch 1,Comp Ch 2,Comp Ch 3,Comp Ch 4,Comp Ch 5,Comp Ch 6,Comp Ch 7,Comp Ch 8,Comp Ch 9,Comp Ch 10,Comp Ch 11,Comp Ch 12,Comp Ch 13,Comp Ch 14,Comp Ch 15,Comp Ch 16,mark
0.072,-0.27227,0.0657302,-0.0666374,-0.175791,0.0201096,-0.00804724,-0.0939305,0.00267668,-0.285948,0.0584078,-0.0626725,-0.159356,0.015389,-0.0267607,-0.0892808,0.00459698,-0.326235,-0.303861,-0.00878798,0.0476432,0.0164026,-0.0109121,-0.0738118,-0.00519908,
0.073,-0.332844,0.269443,-0.0763392,-0.175348,-9.15e-05,-0.00237652,-0.0979371,0.00927986,-0.313443,0.248966,-0.0703655,-0.160579,-0.0051928,-0.0170418,-0.103143,0.0121718,-0.345515,-0.176359,-0.0102567,0.0667587,-0.00244761,0.00294448,-0.0873492,0.000560083,
0.074,-0.321558,0.48994,-0.0886841,-0.17272,0.00300933,0.0165508,-0.0700858,0.0192239,-0.269801,0.455561,-0.0808763,-0.161417,-0.00255851,0.0076282,-0.0789188,0.0217964,-0.287719,-0.026612,-0.0153266,0.0899651,-0.000291577,0.0290839,-0.0639184,0.00840031,
0.075,-0.15484,0.724283,-0.0982202,-0.170322,0.0204916,0.0198078,-0.0263406,0.024871,-0.0801347,0.680504,-0.0898341,-0.163388,0.0137226,0.0159925,-0.0354716,0.0264619,-0.0941878,0.141582,-0.0188037,0.109195,0.0170032,0.0408346,-0.0213986,0.0113859,
0.076,-0.0511424,0.947079,-0.1031,-0.187239,0.0296609,-0.0081857,-0.0188656,0.0210923,0.0290984,0.899687,-0.0962484,-0.18577,0.0226222,-0.0071725,-0.030611,0.0221447,0.03175,0.312602,-0.020607,0.111884,0.0251125,0.0198164,-0.0172012,0.00531352,
0.077,-0.0246024,1.14994,-0.104608,-0.209985,0.00678078,-0.0359405,-0.0171965,0.014887,0.0490218,1.10287,-0.100948,-0.214919,0.00232774,-0.0289973,-0.0344688,0.0161329,0.0506293,0.471125,-0.0207316,0.104244,0.00482926,0.000329508,-0.0227315,-0.00219338,
0.078,-0.0116352,1.33142,-0.106006,-0.233967,-0.0222653,-0.0349007,0.0198464,0.0243533,0.047768,1.28675,-0.105787,-0.245739,-0.0215539,-0.0218413,-0.00231455,0.0255701,0.0675585,0.622936,-0.021931,0.0980525,-0.0200652,0.0100919,0.00872235,0.00557391,
0.079,-0.0451921,1.45639,-0.107267,-0.259459,-0.0421976,-0.0444742,0.0579918,0.0358988,-0.00844017,1.41737,-0.109722,-0.276786,-0.0371556,-0.0276555,0.035766,0.0357122,0.00695312,0.729544,-0.0223725,0.0877285,-0.0368036,0.00568385,0.0446967,0.0144037,
0.08,-0.0994075,1.52478,-0.105537,-0.324936,-0.059054,-0.0531794,0.0882397,0.036373,-0.0924443,1.49884,-0.110138,-0.344608,-0.0527937,-0.0353256,0.0727503,0.0342608,-0.0601336,0.799584,-0.0202559,0.0422504,-0.0537039,0.000932636,0.0806415,0.0114698,
0.081,-0.0306479,1.54267,-0.105467,-0.423503,-0.0815958,-0.039792,0.112814,0.038629,-0.0560569,1.53843,-0.112508,-0.440801,-0.0757008,-0.0235945,0.107065,0.0358187,-0.0297436,0.838072,-0.0204205,-0.035356,-0.0787654,0.0133861,0.113108,0.0119844,
